condition,description,classifier_kind,model_type,num_samples,train_samples,validation_samples,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,state_file,classifier_metrics,classifier_model,confusion_matrix_plot,validation_predictions
baseline,STP + IP,gaussian_nb,standardized_gaussian_nb,2800,2240,560,0.7857142857142857,0.7857142857142856,0.7840713297762534,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\gaussian_nb\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\gaussian_nb\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\gaussian_nb\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\gaussian_nb\classifier_validation_predictions.csv
baseline,STP + IP,logistic_regression,standardized_logistic_regression,2800,2240,560,0.9946428571428572,0.9946428571428572,0.9946426478712895,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\logistic_regression\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\logistic_regression\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\logistic_regression\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\logistic_regression\classifier_validation_predictions.csv
baseline,STP + IP,nearest_centroid,standardized_nearest_centroid,2800,2240,560,0.8410714285714286,0.8410714285714286,0.8387595241406235,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\nearest_centroid\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\nearest_centroid\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\nearest_centroid\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\nearest_centroid\classifier_validation_predictions.csv
baseline,STP + IP,ridge_classifier,standardized_ridge_classifier,2800,2240,560,0.9910714285714286,0.9910714285714286,0.9910599883924037,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\baseline\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\ridge_classifier\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\ridge_classifier\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\ridge_classifier\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\baseline\ridge_classifier\classifier_validation_predictions.csv
no_ip,No IP,gaussian_nb,standardized_gaussian_nb,2800,2240,560,0.4607142857142857,0.4607142857142857,0.390606662764419,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\gaussian_nb\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\gaussian_nb\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\gaussian_nb\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\gaussian_nb\classifier_validation_predictions.csv
no_ip,No IP,logistic_regression,standardized_logistic_regression,2800,2240,560,0.9375,0.9374999999999999,0.9374527741867051,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\logistic_regression\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\logistic_regression\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\logistic_regression\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\logistic_regression\classifier_validation_predictions.csv
no_ip,No IP,nearest_centroid,standardized_nearest_centroid,2800,2240,560,0.5321428571428571,0.5321428571428571,0.5262745523969586,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\nearest_centroid\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\nearest_centroid\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\nearest_centroid\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\nearest_centroid\classifier_validation_predictions.csv
no_ip,No IP,ridge_classifier,standardized_ridge_classifier,2800,2240,560,0.9375,0.9374999999999999,0.937240952429795,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\ridge_classifier\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\ridge_classifier\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\ridge_classifier\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_ip\ridge_classifier\classifier_validation_predictions.csv
no_stp,No STP,gaussian_nb,standardized_gaussian_nb,2800,2240,560,0.8767857142857143,0.8767857142857142,0.8761279161195824,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\gaussian_nb\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\gaussian_nb\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\gaussian_nb\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\gaussian_nb\classifier_validation_predictions.csv
no_stp,No STP,logistic_regression,standardized_logistic_regression,2800,2240,560,0.9964285714285714,0.9964285714285713,0.9964284319141932,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\logistic_regression\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\logistic_regression\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\logistic_regression\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\logistic_regression\classifier_validation_predictions.csv
no_stp,No STP,nearest_centroid,standardized_nearest_centroid,2800,2240,560,0.9178571428571428,0.9178571428571428,0.9155298036257402,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\nearest_centroid\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\nearest_centroid\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\nearest_centroid\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\nearest_centroid\classifier_validation_predictions.csv
no_stp,No STP,ridge_classifier,standardized_ridge_classifier,2800,2240,560,0.9857142857142858,0.9857142857142857,0.9856425025201396,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\ridge_classifier\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\ridge_classifier\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\ridge_classifier\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp\ridge_classifier\classifier_validation_predictions.csv
no_stp_no_ip,No STP + No IP,gaussian_nb,standardized_gaussian_nb,2800,2240,560,0.6017857142857143,0.6017857142857143,0.557263229364703,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\gaussian_nb\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\gaussian_nb\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\gaussian_nb\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\gaussian_nb\classifier_validation_predictions.csv
no_stp_no_ip,No STP + No IP,logistic_regression,standardized_logistic_regression,2800,2240,560,0.9321428571428572,0.9321428571428572,0.9324159428362814,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\logistic_regression\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\logistic_regression\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\logistic_regression\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\logistic_regression\classifier_validation_predictions.csv
no_stp_no_ip,No STP + No IP,nearest_centroid,standardized_nearest_centroid,2800,2240,560,0.6482142857142857,0.6482142857142856,0.6351357881281636,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\no_stp_no_ip\processed\reservoir_states.npz,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\nearest_centroid\classifier_metrics.yaml,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\nearest_centroid\classifier_model.joblib,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\nearest_centroid\classifier_confusion_matrix.png,G:\Izhikevich Reservoir for Speech Emotion Projection\experiments\stp_ip_ablation\outputs\readout_comparison\no_stp_no_ip\nearest_centroid\classifier_validation_predictions.csv
